SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1309 Prat Ct,Raleigh,NC,27606,425000,4,3.0,Driftwood Estates,2432,14810,1972,1,175,,Active,August-22-2021 12:00 PM,August-22-2021 03:00 PM,http://www.redfin.com/NC/Raleigh/1309-Prat-Ct-27606/home/41084473,TMLS,2402806,N,Y,35.7797959,-78.7092964
MLS Listing,,Single Family Residential,506 Samara St,Apex,NC,27502,425000,4,2.5,Surrey Meadows,1916,14810,1994,4,222,19,Active,,,http://www.redfin.com/NC/Apex/506-Samara-St-27502/home/41344925,TMLS,2402032,N,Y,35.7317113,-78.8314292
MLS Listing,,Single Family Residential,1117 S State St,Raleigh,NC,27601,489900,4,2.0,State Street Village,1499,12196,2010,4,327,,Active,,,http://www.redfin.com/NC/Raleigh/1117-S-State-St-27601/home/41087182,TMLS,2401945,N,Y,35.7670177,-78.6244686
MLS Listing,,Single Family Residential,100 Chapel Lawn Ave,Chapel Hill,NC,27516,499000,4,2.5,Briar Chapel,2643,5662,2019,8,189,135,Active,,,http://www.redfin.com/NC/Chapel-Hill/100-Chapel-Lawn-Ave-27516/home/168658490,TMLS,2401260,N,Y,35.8228489,-79.123708
MLS Listing,,Single Family Residential,234 Pecan Rd,Raleigh,NC,27603,289000,4,3.0,Parkland,1534,11325,1950,30,188,,Active,,,http://www.redfin.com/NC/Raleigh/234-Pecan-Rd-27603/unit-A/home/41085031,TMLS,2397030,N,Y,35.7487864,-78.6465005
MLS Listing,,Single Family Residential,532 Everett Ln,Chapel Hill,NC,27516,165000,2,1.0,White Cross,650,55756,1970,112,254,,Active,,,http://www.redfin.com/NC/Chapel-Hill/532-Everett-Ln-27516/home/44388876,TMLS,2380916,N,Y,35.9236,-79.187471
MLS Listing,,Single Family Residential,529 Tucks Ct,Sanford,NC,27330,309000,3,2.0,Nottingham,1696,13068,2007,1,182,6,Active,,,http://www.redfin.com/NC/Sanford/529-Tucks-Ct-27330/home/132466216,TMLS,2402819,N,Y,35.4973918,-79.1871467
MLS Listing,,Single Family Residential,1500 Tarbert Dr,Cary,NC,27511,340000,3,2.0,Woodwinds,1419,16988,1976,1,240,,Active,,,http://www.redfin.com/NC/Cary/1500-Tarbert-Dr-27511/home/41129452,TMLS,2402960,N,Y,35.759601,-78.8153237
MLS Listing,,Single Family Residential,227 Barclay Rd,Durham,NC,27712,320000,3,2.0,Brentwood Estates,1566,20473,1976,1,204,,Pre On-Market,,,http://www.redfin.com/NC/Durham/227-Barclay-Rd-27712/home/43581597,TMLS,2402958,N,Y,36.0988124,-78.9028101
MLS Listing,,Single Family Residential,4637 Forestville Rd,Raleigh,NC,27616,850000,2,2.0,Wake,1600,141570,1963,1,531,,Active,,,http://www.redfin.com/NC/Raleigh/4637-Forestville-Rd-27616/home/41101807,TMLS,2402957,N,Y,35.8548765,-78.5113519
MLS Listing,,Condo/Co-op,250 S Estes Dr #12,Chapel Hill,NC,27514,199000,2,2.5,Brookwood,1386,,1974,1,144,240,Pre On-Market,,,http://www.redfin.com/NC/Chapel-Hill/250-S-Estes-Dr-27514/unit-12/home/44419150,TMLS,2402956,N,Y,35.9263451,-79.0282907
MLS Listing,,Single Family Residential,3915 Landover Ln,Raleigh,NC,27616,346000,4,2.5,Landover,2036,7405,2004,1,170,32,Active,August-21-2021 02:00 PM,August-21-2021 04:00 PM,http://www.redfin.com/NC/Raleigh/3915-Landover-Ln-27616/home/41358943,TMLS,2402955,N,Y,35.8558876,-78.5248882
MLS Listing,,Single Family Residential,224 Mill Pond Rd,Sanford,NC,27330,400000,3,2.5,Winding Creek Farm,2522,29185,1987,1,159,23,Active,,,http://www.redfin.com/NC/Sanford/224-Mill-Pond-Rd-27330/home/132353548,TMLS,2402954,N,Y,35.4836355,-79.2570302
MLS Listing,,Townhouse,641 Collington Dr,Mebane,NC,27302,250000,3,3.5,Collington Farms,1734,7405,2013,1,144,24,Active,,,http://www.redfin.com/NC/Mebane/641-Collington-Dr-27302/home/44425537,TMLS,2402953,N,Y,36.0686124,-79.2595298
