SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2549 Owens Ct,Chapel Hill,NC,27514,495000,3,3.0,Lake Forest Estates,2161,26136,1974,1,229,,Active,May-5-2019 01:00 PM,May-5-2019 04:00 PM,http://www.redfin.com/NC/Chapel-Hill/2549-Owens-Ct-27514/home/44405716,TMLS,2252330,N,Y,35.9507761,-79.0275898
MLS Listing,,Single Family Residential,706 Oldwyck Dr,Fuquay Varina,NC,27526,339900,4,2.5,Northwyck,2451,16117,2006,1,139,,Active,May-5-2019 02:00 PM,May-5-2019 04:00 PM,http://www.redfin.com/NC/Fuquay-Varina/706-Oldwyck-Dr-27526/home/41213598,TMLS,2252267,N,Y,35.579613,-78.7808915
MLS Listing,,Single Family Residential,1260 Hill Hollow Way,Apex,NC,27523,459900,5,3.0,Sutton Place,2969,8276,2006,1,155,55,Active,May-4-2019 01:00 PM,May-4-2019 04:00 PM,http://www.redfin.com/NC/Apex/1260-Hill-Hollow-Way-27523/home/41309802,TMLS,2252242,N,Y,35.7635633,-78.8655561
MLS Listing,,Single Family Residential,110 Lystra Grant Ct,Chapel Hill,NC,27517,675000,5,4.5,Westfall,4984,26440,2015,1,135,120,Active,,,http://www.redfin.com/NC/Chapel-Hill/110-Lystra-Grant-Ct-27517/home/101682749,TMLS,2252233,N,Y,35.823817,-79.0580174
MLS Listing,,Single Family Residential,10105 Creedmoor Rd,Raleigh,NC,27615,375000,3,3.0,Fox Run,2394,64468,1977,1,157,,Active,,,http://www.redfin.com/NC/Raleigh/10105-Creedmoor-Rd-27615/home/41119877,TMLS,2252209,N,Y,35.930281,-78.684729
MLS Listing,,Single Family Residential,112 Solstice Cir,Cary,NC,27513,285000,3,3.0,Brighton Woods,1622,9583,1992,1,176,,Active,May-4-2019 01:00 PM,May-4-2019 04:00 PM,http://www.redfin.com/NC/Cary/112-Solstice-Cir-27513/home/41194783,TMLS,2251974,N,Y,35.771777,-78.8100136
MLS Listing,,Single Family Residential,2851 Lumber River Trl,Apex,NC,27502,509900,6,4.0,Bella Casa,3724,7840,2016,1,137,67,Active,May-11-2019 01:00 PM,May-11-2019 04:00 PM,http://www.redfin.com/NC/Apex/2851-Lumber-River-Trl-27502/home/105542900,TMLS,2251929,N,Y,35.7172238,-78.91647
MLS Listing,,Single Family Residential,4345 Pickwick Dr,Raleigh,NC,27613-2040,284400,3,2.0,Pickwick Village,1513,11325,1979,1,188,,Active,May-4-2019 01:00 PM,May-4-2019 04:00 PM,http://www.redfin.com/NC/Raleigh/4345-Pickwick-Dr-27613/home/41124993,TMLS,2251860,N,Y,35.8701723,-78.7050808
MLS Listing,,Single Family Residential,4719 Tuliptree Dr,Greensboro,NC,27455,234900,4,2.5,Lake Jeanette - Mary Oaks Manor,,,2017,1,,180,Active,,,http://www.redfin.com/NC/Greensboro/4719-Tuliptree-Dr-27455/home/113422439,Triad MLS,930263,N,Y,36.1429163,-79.810574
MLS Listing,,Single Family Residential,3916 Hulon Dr,Durham,NC,27705,304900,4,2.0,Green Ridge,1728,20168,1972,6,176,,Active,May-4-2019 01:00 PM,May-4-2019 04:00 PM,http://www.redfin.com/NC/Durham/3916-Hulon-Dr-27705/home/43547682,TMLS,2251137,N,Y,35.9707695,-78.9880095
