,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,SOURCE,MLS#,LATITUDE,LONGITUDE
0,MLS Listing,Single Family Residential,3240 Cornwallis Rd,Garner,NC,27529,345500.0,3.0,2.5,Southwoods,1841.0,58370.0,1987.0,1.0,188.0,,TMLS,2408156,35.5862521,-78.5405526
1,MLS Listing,Single Family Residential,8724 Fort Macon Ct,Raleigh,NC,27615,614900.0,4.0,3.0,Heritage Point,3829.0,55756.0,1982.0,1.0,161.0,86.0,TMLS,2407930,35.9085544,-78.6759722
2,MLS Listing,Single Family Residential,1800 Pershing Rd,Raleigh,NC,27608,560000.0,3.0,2.0,Georgetown,1613.0,11325.0,1946.0,1.0,347.0,,TMLS,2407866,35.8065514,-78.628237
3,MLS Listing,Single Family Residential,1705 Westhaven Dr,Raleigh,NC,27607,420000.0,3.0,2.5,Medfield Estates,2039.0,23086.0,1973.0,6.0,206.0,,TMLS,2406991,35.8049724,-78.7621878
4,MLS Listing,Single Family Residential,1311 Shepherd St,Durham,NC,27707,475000.0,3.0,2.0,Vickers,1565.0,14810.0,1978.0,13.0,304.0,,TMLS,2405707,35.9863532,-78.9128895
5,MLS Listing,Single Family Residential,310 N Estes Dr,Chapel Hill,NC,27514,499000.0,3.0,2.0,Estes Hills,2102.0,54885.0,1957.0,14.0,237.0,,TMLS,2405560,35.9327543,-79.0392344
6,MLS Listing,Single Family Residential,219 Crisp Rd,Durham,NC,27713,525000.0,4.0,2.5,Jordan at Southpoint,2517.0,8276.0,2015.0,14.0,209.0,70.0,TMLS,2405548,35.8704419,-78.9414861
7,MLS Listing,Single Family Residential,5417 Rambling Rd,Greensboro,NC,27409,725000.0,4.0,3.5,Rambling Woods,,,1985.0,14.0,,,Triad MLS,1040816,36.1543466,-79.945611
8,MLS Listing,Single Family Residential,3745 Westbury Lake Dr,Raleigh,NC,27603,850000.0,4.0,3.5,Westbury,4131.0,26571.0,2005.0,20.0,206.0,42.0,TMLS,2404323,35.6651757,-78.7087133
9,MLS Listing,Single Family Residential,905 Black Boulder Trl,Durham,NC,27712,575000.0,4.0,4.0,Ashfield Place,3717.0,13503.0,2008.0,27.0,155.0,56.0,TMLS,2403062,36.0915806,-78.9269016
10,MLS Listing,Single Family Residential,1117 S State St,Raleigh,NC,27601,469900.0,4.0,2.0,State Street Village,1499.0,12196.0,2010.0,31.0,313.0,,TMLS,2401945,35.7670177,-78.6244686
11,MLS Listing,Single Family Residential,190 Bobcat Rd,Summerfield,NC,27358,750000.0,3.0,2.5,,,,2014.0,45.0,,,Triad MLS,1034949,36.2980695,-79.868176
12,MLS Listing,Single Family Residential,4708 Waterford Cove Dr,Raleigh,NC,27616,451000.0,3.0,2.5,Winchester,2314.0,15246.0,1998.0,1.0,195.0,46.0,TMLS,2408181,35.8360252,-78.5596305
13,MLS Listing,Single Family Residential,138 N Fields Cir,Chapel Hill,NC,27516,622900.0,5.0,3.5,Lake Hogan Farms,2618.0,6098.0,2004.0,1.0,238.0,75.0,TMLS,2408179,35.953739,-79.1012535
14,MLS Listing,Single Family Residential,64 Morningside Ln,Angier,NC,27501,434864.0,4.0,3.5,Weatherford,2555.0,23086.0,2021.0,1.0,170.0,45.0,TMLS,2408178,35.5238473058724,-78.6766303318024
15,MLS Listing,Single Family Residential,8015 Mckee Dr,Raleigh,NC,27616,339900.0,4.0,2.5,Highland Creek,2139.0,5227.0,2011.0,1.0,159.0,56.0,TMLS,2408177,35.8962494,-78.5207609
16,MLS Listing,Single Family Residential,3010 Wildwood Dr,Sanford,NC,27330,225000.0,3.0,2.0,Wildwood,1524.0,34848.0,2001.0,1.0,148.0,,TMLS,2408176,35.5145288,-79.2346961
17,MLS Listing,Single Family Residential,1837 Pennrose Dr,Reidsville,NC,27320,293000.0,4.0,3.0,Pennrose Country Club,,,1965.0,1.0,,,Triad MLS,1042700,36.338952,-79.664266
18,MLS Listing,Single Family Residential,4109 Queen Beth Dr,Greensboro,NC,27405,174900.0,3.0,1.5,Kings Forest,,,1965.0,1.0,,,Triad MLS,1042658,36.0999055,-79.7383444
19,MLS Listing,Single Family Residential,302 N Franklin St,Reidsville,NC,27320,45000.0,3.0,2.0,,,,1971.0,1.0,,,Triad MLS,1042434,36.3643801,-79.6701858
20,MLS Listing,Single Family Residential,105 Morningside Ln,Angier,NC,27501,473100.0,3.0,2.5,Weatherford,2524.0,25264.0,2021.0,1.0,187.0,45.0,TMLS,2408175,35.5242751687146,-78.6757398384094
21,MLS Listing,Single Family Residential,153 Morningside Ln,Angier,NC,27501,505215.0,4.0,4.5,Weatherford,3100.0,46173.0,2021.0,1.0,163.0,45.0,TMLS,2408171,35.5242402412212,-78.6757612960816
22,MLS Listing,Single Family Residential,4308 Walnut Hollow Dr,Winston Salem,NC,27127,162500.0,3.0,2.0,Walnut Hollow,,,1985.0,1.0,,,Triad MLS,1042719,36.0322377,-80.2421948
23,MLS Listing,Single Family Residential,5838 Old Randleman Rd,Greensboro,NC,27406,329900.0,3.0,2.0,,,,1963.0,1.0,,,Triad MLS,1042695,35.940673,-79.8239707
24,MLS Listing,Single Family Residential,5211 Nc Highway 150 E,Browns Summit,NC,27214,159500.0,3.0,1.0,,,,1989.0,1.0,,,Triad MLS,1042436,36.2197306,-79.6552322
25,MLS Listing,Single Family Residential,868 River Song Pl,Cary,NC,27519,649900.0,5.0,4.0,StoneWtr,3389.0,9583.0,2010.0,1.0,192.0,75.0,TMLS,2408169,35.8468033,-78.9079589
